0,3500000
1,3487400
2,3345440
3,2664080
4,2638220
5,242741
6,136160
7,40982
8,309075
9,159309
10,703863
11,109452
12,258036
13,264915
14,407573
15,190234
16,77996
17,607681
18,241575
19,206138
20,154927
21,81844
22,212202
23,261623
24,153813
25,5138
26,297284
27,460719
28,512709
29,571101
30,473774
31,160567
32,212256
33,590079
34,51952
35,176821
36,299339
37,513331
38,48595
39,259221
40,130443
41,266832
42,43900
43,126086
44,485074
45,956525
46,261952
47,410664
48,420826
49,347027
50,456288
51,504827
52,37342
53,294855
54,383266
55,562092
56,352667
57,133091
58,511310
59,575849
60,615020
61,773838
62,1218944
63,1282746
64,1318175
65,1640731
66,1604213
67,1955611
68,2044296
69,2407567
70,2787223
71,2902602
72,2651335
73,2693413
74,2999190
75,3122486
76,3134442
77,2271480
78,2808249
79,3383504
80,3736753
81,3932738
82,4564168
83,4595085
84,5000215
85,5032602
86,6059085
87,6592331
88,6753960
89,7343204
90,7603474
